"unique_trial_id","subject_id","RT","correctness","mousetrackingDuration","movementDirection","exemplar","traveledDistance","trial_type","MAD","AUC","xpos_flips","ypos_flips","initiation_time","total_dist","prototype_label","z_AUC","z_RT","z_initiation_time"
"1",2141,1048,"Correct",901,53.95002176,"Paris",34,"Typical",66.7784163371038,6773.5,0,2,360,833.426259844866,"straight",-1.11011471024714,-1.29891375099993,1.68840683893558
"2",2141,1364,"Correct",1204,65.06616905,"Beijing",53,"Atypical",829.7405503868,206996.5,2,2,270,1942.87018431681,"dCoM",0.651040038230568,-0.130552399909663,1.04607815021009
"3",2141,1518,"Correct",1405,57.20804084,"Ottawa",66,"Atypical",-43.241532320283,-1958.5,1,1,0,845.494072783356,"straight",-1.18692108745509,0.644499189427447,-0.880907915966391
"4",2141,1706,"Correct",1591,49.03424338,"Dubrovnik",55,"Atypical",-96.9847405761196,-26864.5,3,2,0,896.15037441573,"straight",-1.4059934226293,1.3617111079185,-0.880907915966391
"5",2141,1042,"Correct",856,55.47870918,"Rom",23,"Typical",149.683149705707,93993,2,1,360,951.988102713522,"straight",-0.342934932774765,-1.47243276353809,1.68840683893558
"6",2141,1362,"Correct",1336,41.52078929,"Barcelona",53,"Atypical",524.229790161908,232079,2,2,0,1651.34810801247,"cCoM",0.871664861446143,0.378436703535604,-0.880907915966391
"7",2141,919,"Correct",784,49.93613744,"London",31,"Typical",129.586073850074,67629.5,1,0,198,894.335124507417,"straight",-0.57482738874382,-1.75006318359915,0.532215199229694
"10",2141,1573,"Correct",1351,84.58496469,"Saigon",52,"Atypical",744.678048099007,307364,3,2,0,1803.25531699095,"dCoM",1.53386917982687,0.436276374381657,-0.880907915966391
"12",2141,1316,"Correct",1173,48.61061734,"Salzburg",50,"Typical",579.194495005527,237801.5,3,2,0,1548.3517918606,"cCoM",0.92199977825472,-0.250087719658172,-0.880907915966391
"13",2141,1451,"Correct",1317,62.1834892,"Rio de Janeiro",54,"Atypical",714.608936976479,243136,1,3,180,1667.5201915532,"dCoM",0.968921860162165,0.305173120463936,0.403749461484596
"14",2141,1340,"Correct",1117,62.0273937,"Berlin",55,"Typical",82.950971454897,32297.5,3,3,0,833.683510953374,"straight",-0.885606467936592,-0.46602249081677,-0.880907915966391
"15",2140,1810,"Correct",1477,59.04653375,"Paris",57,"Typical",118.836109897395,54355.5,3,0,0,899.15335107897,"curved",-0.950369267063123,-0.999892731522264,-0.706270111508942
"16",2140,6025,"Correct",5413,58.26112831,"Dubrovnik",148,"Atypical",78.2954758743975,23515.5,0,1,270,884.492777948059,"straight",-1.34718187617475,0.797995706701414,0.0809665005572335
"17",2140,2668,"Correct",1878,69.42299375,"Salzburg",65,"Typical",315.141888184911,134983.5,3,3,0,1049.87887266097,"cCoM",0.0870563829839775,-0.816723711266244,-0.706270111508942
"18",2140,1887,"Correct",1506,70.92593513,"London",57,"Typical",309.398351079757,105460,2,0,450,1021.68619720218,"curved",-0.292817062706919,-0.98664609414714,0.605790908601351
"20",2140,1726,"Correct",1423,59.85830916,"Berlin",50,"Typical",75.4179422855417,11212,0,0,555,853.114343007548,"straight",-1.50548874829554,-1.02455888387594,0.911938479960419
"27",2140,3654,"Correct",3312,85.20979542,"Barcelona",96,"Atypical",632.722573418473,210304,2,3,360,1576.07958060119,"dCoM",1.0561914064792,-0.161700332096337,0.343378704579292
"29",2139,1640,"Correct",1063,84.03828522,"Sydney",42,"Atypical",982.544276828506,459780.5,1,0,0,2249.84859091872,"dCoM",1.03368644514347,-0.644428265560788,-0.704015540236991
"30",2139,2896,"Correct",2683,53.62038724,"Dubrovnik",74,"Atypical",-201.624209001839,-111435.5,2,1,990,1193.38928351606,"straight",-1.03595524012376,0.0644865867321463,2.33833733007286
"31",2139,1832,"Correct",1715,85.06614823,"Beijing",64,"Atypical",977.3520768127,398720,1,2,540,2334.02998271902,"dCoM",0.812450772257447,-0.359111917600916,0.955449661750202
"36",2139,1496,"Correct",1383,77.39468668,"Las Vegas",57,"Typical",723.605973971974,-50420.5,2,2,0,2923.23174279989,"dCoM2",-0.814884423783569,-0.5043957021449,-0.704015540236991
"37",2139,1080,"Correct",889,54.2552786,"Berlin",45,"Typical",133.406725752729,31045,3,0,0,1238.14630527513,"straight",-0.519716930731663,-0.720570971918177,-0.704015540236991
"38",2139,1656,"Correct",1532,73.36527438,"Saigon",71,"Atypical",920.452996570188,368775.5,3,2,360,2494.53367219866,"dCoM",0.703955237390629,-0.439193039804377,0.402294594421138
"39",2138,1254,"Correct",1163,42.67021119,"Las Vegas",41,"Typical",-44.714427161667,8596.5,2,0,0,869.054629898656,"straight",-0.689299374848872,-0.706176424334424,-1.03411982156193
"41",2138,1080,"Correct",1040,52.31064837,"Berlin",37,"Typical",-49.0799620985131,-4582,0,1,450,780.071598500371,"straight",-0.863581757239757,-0.849351754323107,-0.245718432823483
"42",2138,952,"Correct",865,49.38191784,"Moscow",30,"Typical",-24.8492780024175,-3413,0,0,0,751.445105795478,"straight",-0.848122023202124,-1.05305649211188,-1.03411982156193
"43",2138,840,"Correct",823,52.29307811,"London",34,"Typical",-71.0945833945302,-9178,1,1,292,825.233954377224,"straight",-0.92436271330217,-1.10194562918119,-0.522534920424982
"44",2138,2226,"Correct",2165,85.12056252,"Rom",92,"Typical",652.698680082747,108001,2,3,360,2228.83683803847,"dCoM2",0.625300396018431,0.460178702890454,-0.403398710571172
"45",2138,1894,"Correct",1832,82.89699207,"Ottawa",56,"Atypical",502.511784162765,178205.5,1,0,1080,1254.36781925441,"cCoM",1.55373743472245,0.0725576875552402,0.858043511410343
"46",2138,2294,"Correct",2246,57.7274984,"Dubrovnik",63,"Atypical",86.8415253822032,20192.5,3,0,1530,741.789838292817,"straight",-0.535945161076082,0.554464895809831,1.64644490014879
"48",2138,2020,"Correct",1903,50.30788683,"Salzburg",57,"Typical",87.8991500768814,7280.5,0,0,19,791.369493128169,"straight",-0.706703147298423,0.155203609743829,-1.00083176292631
"49",2138,1186,"Correct",1121,56.99146168,"Paris",41,"Typical",55.1688179987259,20551,1,0,450,703.720299982483,"straight",-0.531204087806201,-0.755065561403731,-0.245718432823483
"51",2137,1073,"Correct",858,58.09033332,"Moscow",36,"Typical",40.6718859488878,5325,0,0,270,942.876870338357,"straight",-1.10450005664154,-0.725668139898668,0.161959880647362
"52",2137,1310,"Correct",1137,58.70871313,"Paris",53,"Typical",418.336993500483,223905.5,1,2,0,1319.1323715267,"cCoM",0.526376394517629,-0.432293047436012,-1.5056778734759
"53",2137,1041,"Correct",927,58.49170712,"Berlin",41,"Typical",345.183124430362,212919,1,2,270,1245.0874212972,"cCoM",0.444403738536605,-0.653113009504678,0.161959880647362
"54",2137,2394,"Correct",2277,75.79503107,"Salzburg",96,"Typical",834.819454312233,376057.5,1,2,0,1980.37765810865,"dCoM",1.66161541994199,0.766443889508173,-1.5056778734759
"55",2137,1599,"Correct",1443,57.47358428,"Las Vegas",60,"Typical",110.255817618264,45520.5,0,1,180,982.502533653877,"straight",-0.804592725509216,-0.110526816993099,-0.393919370727059
"56",2137,1326,"Correct",1137,57.51642479,"London",49,"Typical",64.6794138797886,29519,0,0,360,979.842612344183,"straight",-0.923983382650285,-0.432293047436012,0.717839132021784
"57",2137,1373,"Correct",1231,61.98864508,"Dubrovnik",60,"Atypical",353.816948878459,133431.5,3,0,270,1194.61260150845,"curved",-0.148669714545963,-0.333449826319562,0.161959880647362
"59",2137,2972,"Correct",1097,56.47912162,"Rom",44,"Typical",81.7501858867561,44078.5,0,0,484,986.60108476981,"straight",-0.815351799820839,-0.474353992591948,1.48371721169321
"60",2136,6121,"Correct",5873,43.25589738,"Beijing",85,"Atypical",-27.3143933327969,-9203,1,0,810,726.610178756403,"straight",-0.413944898703054,2.74727028416793,-0.258019751608603
"61",2136,3234,"Correct",2977,47.70945015,"Saigon",47,"Atypical",35.2994314962562,13544.5,0,0,2723,681.512230732865,"straight",0.397648008682537,0.516115608005952,2.13067784324394
"62",2136,2241,"Correct",2088,45.78780671,"Las Vegas",52,"Typical",-35.2336930176709,-11573,2,0,1440,668.894525582784,"straight",-0.49850255077488,-0.168793406879406,0.528639675865053
"63",2136,2391,"Correct",2248,47.12852499,"Paris",54,"Typical",-34.9459360200649,-12490.5,1,0,1260,659.325076699237,"straight",-0.531237422410281,-0.0455251927268107,0.303879839444008
"64",2136,1656,"Correct",1529,49.30516334,"Salzburg",41,"Typical",-39.8700599335801,-10650,2,0,0,654.345239428791,"straight",-0.465571448301338,-0.599461730075036,-1.2694390155033
"65",2136,1567,"Correct",1420,48.19625969,"Barcelona",35,"Atypical",-41.0902261878155,-13848,0,0,900,651.780818935418,"straight",-0.579670761096991,-0.683438200966491,-0.145639833398081
"67",2136,1664,"Correct",1490,50.1662622,"Berlin",42,"Typical",333.023484231551,79786.5,1,0,900,1080.01084670766,"cCoM",2.76105222325717,-0.629508357274731,-0.145639833398081
"68",2136,2758,"Correct",2614,47.59844214,"Moscow",63,"Typical",36.2600267922593,10783.5,0,0,1890,670.037692386435,"straight",0.299140127935571,0.236450847147251,1.09053926691767
"69",2136,1392,"Correct",1197,46.75402165,"Rom",33,"Typical",20.9599397295927,7372.5,0,0,810,679.026245065713,"straight",0.177441329953715,-0.855243274441671,-0.258019751608603
"70",2136,2031,"Correct",1873,49.02887954,"London",47,"Typical",-16.2859827480965,-5128,3,1,450,665.531053033833,"straight",-0.268555686807405,-0.334435069646956,-0.707539424450693
"72",2135,1536,"Correct",1376,54.78240703,"Rom",40,"Typical",136.379376900165,61182.5,1,3,493,1009.75352193593,"straight",-0.229396749701079,-0.792169530221414,-0.171964399794837
"73",2135,2560,"Correct",2312,48.87715183,"Moscow",58,"Typical",278.925988709014,112252,0,1,450,959.758788201097,"curved",0.318318324603483,0.475892889424059,-0.283235482015026
"74",2135,2030,"Correct",1353,76.18433323,"Beijing",47,"Atypical",389.24728992726,162381,2,1,0,1183.75760282242,"cCoM",0.855946634256277,-0.823329183695609,-1.44770029594723
"75",2135,1857,"Correct",1692,54.505078,"Salzburg",62,"Typical",356.917401161291,148402,2,2,630,1120.11125487014,"curved",0.706023313610814,-0.364062986836832,0.182550443557857
"76",2135,1562,"Correct",1254,54.31273812,"London",37,"Typical",89.8746315875245,35070.5,0,0,360,709.851221780465,"straight",-0.509445233047121,-0.95745117038888,-0.516128444801467
"78",2135,1754,"Correct",1172,48.75687815,"Ottawa",37,"Atypical",-102.893364191959,-24037,1,0,711,766.174391118493,"straight",-1.14336702109002,-1.06854210886209,0.392154110065654
"79",2135,1973,"Correct",1837,47.8402194,"Berlin",53,"Typical",-163.228841882601,-59412.5,2,2,810,859.744601699731,"straight",-1.52276557817519,-0.167621693195172,0.648336369130739
"80",2135,4129,"Correct",3639,63.33542572,"Las Vegas",117,"Typical",87.306884689901,34119,1,0,1530,721.729234514989,"straight",-0.519649971554465,2.27366941813084,2.51148007142227
"81",2135,2504,"Correct",2364,81.76029451,"Barcelona",58,"Atypical",458.320282222429,202432,1,1,360,1217.53504270169,"cCoM",1.28548944240932,0.546340801626585,-0.516128444801467
"82",2134,1794,"Correct",1721,53.41364618,"Paris",81,"Typical",-23.0192748276051,2648.5,1,0,360,951.925428183565,"straight",-0.228703902434105,-0.46967374629805,-0.14799286392295
"83",2134,1319,"Correct",1317,51.66254279,"Berlin",44,"Typical",-85.8760739246539,-55801,2,0,540,980.311243779951,"straight",-0.675140433105441,-1.35559485349182,0.28419868558655
"85",2134,1890,"Correct",1810,60.00623467,"Salzburg",61,"Typical",-59.8727086779299,-24156.5,1,0,900,873.007656466854,"straight",-0.433440148332618,-0.274507957832095,1.14858178460555
"86",2134,2175,"Correct",1999,58.66456109,"Ottawa",73,"Atypical",-40.1161440184033,-14732.5,0,0,900,862.294291266361,"straight",-0.361459757310511,0.139945233404597,1.14858178460555
"87",2134,1911,"Correct",1782,56.87607073,"London",77,"Typical",-93.301355828995,-45476.5,0,1,0,893.540909717571,"straight",-0.596282034643243,-0.335908430607901,-1.01237596294195
"89",2134,1810,"Correct",1734,54.78789445,"Moscow",62,"Typical",12.5474435961167,4366,0,0,810,915.280168436719,"straight",-0.215585659482018,-0.441166383937854,0.932486009850801
"90",2134,1855,"Correct",1848,51.30744986,"Beijing",62,"Atypical",-42.8871089753934,-17068,2,0,0,968.784381886908,"straight",-0.379298276329201,-0.191178744779215,-1.01237596294195
"92",2134,2021,"Correct",1899,55.3773935,"Saigon",65,"Atypical",-70.5550303116986,-36399,0,0,990,900.772241388926,"straight",-0.526948206173042,-0.0793421693661393,1.3646775593603
"93",2133,1539,"Correct",1402,58.94623661,"Moscow",60,"Typical",47.5541489290489,23394.5,1,1,0,916.325802975679,"straight",-0.593749532862478,-0.618227905536171,-0.976063826947994
"96",2133,1333,"Correct",1238,53.55364415,"London",34,"Typical",43.6535339827472,13225.5,1,1,0,1025.04790274481,"straight",-0.701549132652378,-0.966829305854372,-0.976063826947994
"97",2133,1965,"Correct",1580,57.83296372,"Dubrovnik",52,"Atypical",101.386238646093,35294.5,1,2,0,954.867690717624,"straight",-0.467599937277875,-0.239867849093246,-0.976063826947994
"98",2133,1481,"Correct",1256,53.55538397,"Barcelona",49,"Atypical",206.168547867984,96301.5,2,1,270,1112.16086411895,"curved",0.179123455817068,-0.928568176551155,-0.0866598724860368
"100",2133,1345,"Correct",1254,62.31792564,"Paris",44,"Typical",101.159598135205,45507.5,0,0,540,886.06348699077,"curved",-0.359333902008502,-0.932819413140402,0.80274408197592
"101",2133,1687,"Correct",1387,62.25036306,"Sydney",52,"Atypical",393.755783617079,117078,2,0,0,1305.46550028429,"cCoM",0.399371108982067,-0.650112179955519,-0.976063826947994
"106",2132,1463,"Correct",1267,54.77774997,"Rom",45,"Typical",-17.7735757413986,-5029,0,0,630,812.552729903199,"straight",-0.881851804516075,-0.69407027534224,0.688375318986574
"107",2132,2887,"Correct",2769,61.9066393,"Beijing",87,"Atypical",67.9940080965887,26036,0,0,694,798.912014857242,"straight",-0.528542421220355,2.34936475639649,0.929524062311555
"108",2132,2456,"Correct",2312,88.08036865,"Salzburg",79,"Typical",614.00765895178,105758.5,3,0,0,1669.48402550654,"cCoM",0.378159890377682,1.42336621478225,-1.68543262311871
