"unique_trial_id","subject_id","RT","correctness","mousetrackingDuration","movementDirection","exemplar","traveledDistance","trial_type","mouse_question","MAD","AUC","xpos_flips","ypos_flips","initiation_time","total_dist","prototype_label","z_AUC","z_RT","z_initiation_time"
"2",2141,1338,"Correct",1191,55.74368037,"Clownfish",45,"Typical","Mouse",47.6244207350223,21006.5,2,0,0,783.046312024315,"straight",-1.20353006301348,-0.683766582968538,-0.727899632593227
"4",2141,1323,"Correct",1172,58.47478757,"Eagle",52,"Typical","Mouse",234.238671396,138799,1,1,360,1039.73136285289,"curved",-0.0380937161352018,-0.748824497449751,1.63777417333476
"5",2141,1662,"Correct",1502,55.23948262,"Tuna",69,"Typical","Mouse",134.134557088767,62683.5,2,1,360,928.111867776962,"straight",-0.791178761964209,0.381128754066053,1.63777417333476
"6",2141,1958,"Correct",1679,73.29401042,"Guineapig",79,"Typical","Mouse",481.448087664259,193355.5,3,3,180,1420.45385173042,"cCoM",0.501687068366906,0.987194588969985,0.454937270370767
"8",2141,1433,"Correct",1193,69.60269439,"Elephant",49,"Typical","Mouse",708.000848856949,279551,1,3,270,1676.29534108451,"dCoM",1.35450340758499,-0.676918381444199,1.04635572185276
"10",2141,1259,"Correct",1102,55.10099107,"Cow",37,"Typical","Mouse",41.1235049659979,10800,2,0,0,758.683918261454,"straight",-1.30451294455868,-0.988511550801588,-0.727899632593227
"11",2141,1191,"Correct",986,47.67976597,"Dove",37,"Typical","Mouse",63.5675790326515,33832,1,1,270,865.026769974476,"straight",-1.07663485434665,-1.3857072392132,1.04635572185276
"13",2141,1198,"Correct",1024,51.68880609,"Zebra",36,"Typical","Mouse",234.752364346713,122731,2,2,0,999.643302108451,"curved",-0.197070146906602,-1.25559141025078,-0.727899632593227
"14",2140,2507,"Correct",2166,83.86914925,"Tuna",78,"Typical","Touch",523.123984331468,216291,1,3,450,1405.2883957967,"cCoM",1.4585996486219,-0.37849289814364,-0.0901099030958758
"15",2140,3218,"Correct",2140,70.56408658,"Dolphin",75,"Atypical","Touch",351.335100646397,186750,1,2,540,1137.23421865683,"cCoM",1.05708673446916,-0.394138073583599,0.0267192629828108
"16",2140,5353,"Correct",4910,66.86797813,"Guineapig",124,"Typical","Touch",89.9679472930044,42159,1,2,2880,819.810679959947,"curved",-0.908153229318768,1.27267484828903,3.06427758102866
"17",2140,2032,"Correct",1922,69.53970787,"Zebra",61,"Typical","Touch",488.070728676512,240446.5,1,1,360,1329.87315960641,"cCoM",1.78691437045991,-0.525316852272492,-0.206939069174562
"18",2140,1971,"Correct",1505,72.60127368,"Clownfish",45,"Typical","Touch",166.73290577173,79303,2,0,270,857.81975645545,"curved",-0.403302490234463,-0.776241396828768,-0.323768235253249
"19",2140,2452,"Correct",1743,59.05578105,"Elephant",66,"Typical","Touch",151.95816585527,33432.5,3,0,540,927.885601604024,"curved",-1.02676134838562,-0.633027867801445,0.0267192629828108
"20",2140,2077,"Correct",1962,58.12262228,"Cangaroo",61,"Typical","Touch",87.535428137017,26114.5,0,0,450,821.927215714737,"straight",-1.12622553395042,-0.501247351595631,-0.0901099030958758
"21",2140,2091,"Correct",1928,65.17811626,"Cow",49,"Typical","Touch",298.212645905934,151396.5,1,1,0,1090.95246382262,"curved",0.576571964810076,-0.521706427170963,-0.674255733489309
"22",2140,2771,"Correct",2592,60.46804722,"Eagle",68,"Typical","Touch",149.827583977056,50131.5,2,2,0,867.371881769987,"curved",-0.799793264927491,-0.12215271593507,-0.674255733489309
"23",2140,3865,"Correct",2709,85.08368205,"Frog",91,"Atypical","Touch",551.148970685091,101554,2,3,325,1521.69325075228,"cCoM",-0.100873193568383,-0.0517494264552512,-0.252372633760718
"24",2140,3126,"Correct",2691,63.27167939,"Snake",82,"Typical","Touch",276.473423399346,70769,3,0,0,1047.41036442494,"curved",-0.519294203764117,-0.0625807017598387,-0.674255733489309
"25",2140,7607,"Correct",7272,72.3233353,"Dove",131,"Typical","Touch",271.699500699924,109360.5,1,1,418,1044.55962730684,"curved",0.00523054578821903,2.69397886325767,-0.131649162146076
